white,black,asian,other,hs,assoc,bach,post-bach,age,income,owner occ,renter occ,vacancy,year built,house value
1.03,98.54,0.0,0.0,29.91,0.0,2.06,0.0,28.7,30469.0,61.94,38.06,20.05,1979.0,79000.0
10.64,86.31,0.34,1.15,17.63,5.97,13.29,7.66,32.1,41705.0,59.43,40.57,4.46,1975.0,105800.0
3.01,95.58,0.25,0.12,13.93,2.58,8.78,4.17,31.7,32109.0,71.47,28.53,18.16,1967.0,88600.0
1.54,97.58,0.0,0.15,14.36,0.0,0.0,3.37,30.5,16711.0,76.55,23.45,23.16,1967.0,94100.0
2.23,96.47,0.0,0.12,26.79,0.0,4.0,1.53,31.8,36369.0,67.53,32.47,12.73,1965.0,69200.0
3.28,95.8,0.31,0.0,25.78,0.0,5.34,0.0,33.5,42321.0,85.92,14.08,19.83,1966.0,104100.0
12.86,83.82,0.07,3.18,23.27,3.54,15.1,8.96,43.6,51442.0,91.84,8.16,0.0,1978.0,132700.0
27.15,48.99,2.74,18.32,18.5,0.48,4.53,1.49,28.1,33651.0,33.23,66.77,13.05,1976.0,99100.0
1.79,96.58,0.08,0.33,13.59,2.28,5.04,2.6,34.3,51250.0,91.52,8.48,16.13,1966.0,89100.0
1.14,98.41,0.11,0.0,35.54,8.2,8.2,9.45,33.5,46563.0,91.39,8.61,0.0,1975.0,99800.0
1.63,96.94,0.0,0.38,22.15,2.34,8.9,4.45,30.9,57419.0,67.94,32.06,6.9,1977.0,96100.0
3.22,95.98,0.1,0.0,10.41,3.72,11.25,2.18,30.3,41138.0,61.48,38.52,4.12,1971.0,105800.0
12.5,85.99,0.75,0.15,23.04,3.31,17.17,5.87,35.1,73669.0,87.19,12.81,7.62,1966.0,125500.0
2.46,96.34,0.21,0.0,14.44,3.17,3.52,3.17,28.8,26607.0,49.8,50.2,13.5,1964.0,99900.0
17.29,78.47,0.0,3.73,13.04,1.97,8.59,6.52,36.9,44107.0,73.48,26.52,5.21,1969.0,105000.0
19.36,71.94,0.71,6.93,15.9,4.97,1.33,2.93,29.4,36830.0,42.54,57.46,16.87,1971.0,102600.0
13.91,75.03,4.32,4.57,12.71,4.45,9.91,2.48,39.1,61667.0,90.59,9.41,0.0,1975.0,152100.0
23.64,71.66,1.28,2.57,21.5,0.0,8.77,3.85,40.8,44839.0,100.0,0.0,0.0,1976.0,144000.0
16.67,80.51,1.79,0.19,35.5,13.94,1.88,7.06,39.1,55938.0,64.6,35.4,0.0,1975.0,140000.0
14.83,80.27,2.24,1.27,27.59,7.69,10.98,1.77,31.5,39063.0,42.01,57.99,9.11,1975.0,134800.0
17.63,78.35,2.94,0.11,38.63,2.61,21.33,12.19,41.2,67011.0,97.68,2.32,0.0,1973.0,154700.0
6.99,90.81,0.86,0.24,18.72,5.03,14.98,1.68,34.6,71216.0,100.0,0.0,0.0,1985.0,148200.0
29.03,67.68,1.39,0.7,23.28,2.66,9.55,6.51,31.3,50167.0,73.11,26.89,1.92,1975.0,102500.0
8.09,89.72,0.61,0.73,15.39,8.64,18.92,8.27,38.5,65486.0,98.84,1.16,0.0,1975.0,146300.0
29.66,62.42,1.82,3.43,28.27,4.39,2.57,3.53,33.8,28214.0,54.26,45.74,12.89,1971.0,137200.0
24.02,61.29,13.25,0.59,22.06,2.28,18.28,5.29,39.5,56944.0,96.93,3.07,0.0,1973.0,156500.0
33.73,50.84,8.65,3.83,20.65,1.08,7.87,1.38,40.0,40658.0,72.89,27.11,19.57,1970.0,138900.0
29.44,54.24,1.52,9.52,17.6,1.12,5.68,0.0,26.6,20455.0,59.27,40.73,31.71,1970.0,94700.0
36.4,48.75,1.98,9.9,14.56,1.22,6.35,1.92,31.1,35672.0,49.6,50.4,10.51,1971.0,99300.0
20.42,63.49,0.87,11.01,16.58,0.0,0.0,0.0,27.0,39440.0,60.38,39.62,36.18,1974.0,112800.0
